0.35	0.265	0.0995	0.07	7
0.53	0.42	0.2565	0.21	9
0.44	0.365	0.2155	0.155	10
0.33	0.255	0.0895	0.055	7
0.425	0.3	0.141	0.12	8
0.49	0.38	0.2175	0.19	11
0.535	0.405	0.2725	0.205	10
0.47	0.355	0.1675	0.185	10
0.5	0.4	0.258	0.24	12
0.355	0.28	0.095	0.115	7
0.44	0.34	0.188	0.13	10
0.365	0.295	0.097	0.1	7
0.45	0.32	0.1705	0.115	9
0.355	0.28	0.0955	0.075	11
0.38	0.275	0.08	0.085	10
0.565	0.44	0.4275	0.27	12
0.55	0.415	0.318	0.2	9
0.615	0.48	0.513	0.305	10
0.56	0.44	0.3825	0.3	11
0.58	0.45	0.3945	0.285	11
0.59	0.445	0.356	0.28	12
0.605	0.475	0.394	0.295	15
0.575	0.425	0.393	0.2	11
0.58	0.47	0.3935	0.33	10
0.68	0.56	0.6055	0.46	15
